EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,NICAR_RULEYEAR,NICAR_RULEMON,NICAR_TAXYEAR,NICAR_TAXMONTH
10144835,ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ,,PO BOX 303,BOWDOINHAM,ME,04008-0303,259,10,9,1000,194012,1,0,279265319,5,1,201507,6,4,1,0,7,2301006,312305,204915,,VALLEY PORTLAND PRINCES-JERUSALEM,1940,12,2015,7
10145133,PROUTS NECK ASSOCIATION,,499 BLACK POINT RD,SCARBOROUGH,ME,04074-8616,0,3,3,1200,195503,1,16,59904062,5,1,201412,5,4,1,0,12,879487,392371,361815,,,1955,3,2014,12
10145135,PROUTS NECK COUNTRY CLUB,,499 BLACK POINT RD,SCARBOROUGH,ME,04074-8616,0,7,3,1000,192507,2,0,280318319,1,1,201410,6,6,1,0,10,2397827,1659655,1649756,,,1925,7,2014,10
10145138,PROUTS NECK YACHT CLUB,,499 BLACK POINT RD,SCARBOROUGH,ME,04074-8616,0,7,3,1000,197205,2,0,279319317,1,1,201412,4,4,1,0,12,206629,278609,265185,,,1972,5,2014,12
10145780,PURPOODOCK CLUB,,300 SPURWINK AVE,CAPE ELIZ,ME,04107-9614,0,7,3,1000,194206,2,0,280000000,1,1,201509,6,6,1,0,9,3987263,2813463,1617627,,,1942,6,2015,9
10147000,RANGELEY LIBRARY ASSOCIATION,,PO BOX 381,RANGELEY,ME,04970-0381,0,3,3,3000,195906,1,16,61000000,1,1,201506,6,4,1,0,6,1445992,185168,178955,B71Z,,1959,6,2015,6
10152188,PORTLAND ROTARY CLUB,% ELISE HODGKIN,PO BOX 1755,PORTLAND,ME,04104-1755,573,4,9,3000,194209,2,0,520349200,1,1,201506,0,0,2,0,6,0,0,0,,PORTLAND ROTARY CLUB,1942,9,2015,6
10153126,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,60 RIVER ST,RUMFORD,ME,04276-2017,1156,8,9,1000,195110,1,0,279265000,5,1,201503,4,4,1,0,3,323115,103441,60105,,0862 RUMFORD,1951,10,2015,3
10153128,GREATER RUMFORD COMMUNITY CENTER,% KIM POWERS,PO BOX 239,RUMFORD,ME,04276-0239,0,3,3,2000,195705,1,15,30000000,1,1,201408,4,4,1,0,8,120105,148092,121476,,,1957,5,2014,8
10153960,LINCOLNHEALTH,,35 MILES ST,DAMARISCOTTA,ME,04543-4047,0,3,3,1000,195612,1,12,150179000,1,1,201409,9,9,1,0,9,72203797,73498810,71234249,,,1956,12,2014,9
10153996,ST CROIX CLUB INC,% PO BOX 1255,PO BOX 1255,CALAIS,ME,04619-6255,0,7,3,1000,193408,2,0,298328318,1,1,201212,0,0,2,0,12,0,0,0,,,1934,8,2012,12
10155360,MAINE BANKERS ASSOCIATION,,489 CONGRESS STREET,PORTLAND,ME,04101-3414,0,6,3,2000,194307,2,0,200920264,5,1,201412,6,6,1,0,12,1575665,2838822,2838822,,,1943,7,2014,12
10157446,SHAKER SOCIETY,% FRANCES CARR,707 SHAKER RD,NEW GLOUCESTR,ME,04260-2652,0,3,3,1000,199902,2,15,0,5,1,199712,0,0,0,0,12,0,0,0,X99,,1999,2,1997,12
10158946,SIGMA DELTA SORORITY,% CAROLINE ALLAN,5221 HINMAN,HANOVER,NH,03755-0000,0,7,3,1000,199508,2,0,36000000,5,1,201506,3,3,1,0,6,28221,59998,59998,,,1995,8,2015,6
10159992,SKOWHEGAN AREA CHAMBER OF COMMERCE,,23 COMMERCIAL ST,SKOWHEGAN,ME,04976-1714,0,6,3,3000,199910,2,0,0,1,1,201412,2,3,1,0,12,18210,84826,84352,S41,,1999,10,2014,12
10162690,SORRENTO VILLAGE IMPROVEMENT ASSOCIATION,,PO BOX 343,SORRENTO,ME,04677-0343,0,7,3,1000,195010,2,0,61318000,1,1,201412,5,4,1,0,12,541245,167056,163751,,,1950,10,2014,12
10163098,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812,% JENNIE BUTLER,49 CARRIAGE HILL DR,WINDHAM,ME,04062-4927,2347,3,9,2000,197210,1,16,64062908,5,1,201503,0,0,2,0,3,0,0,0,,MAINE STATE SOCIETY,1972,10,2015,3
10165097,MAINE GROCERS & FOOD PRODUCERS ASSOCIATION,,PO BOX 5234,AUGUSTA,ME,04332-5234,0,6,3,3000,198308,2,0,200207000,1,1,201412,3,4,1,0,12,58127,179794,172126,S41Z,,1983,8,2014,12
10165110,MAINE TOURISM ASSOCIATION,,327 WATER ST,HALLOWELL,ME,04347-1341,0,6,3,3200,197106,2,0,65207919,1,1,201406,6,6,1,0,6,1813007,2985153,2179980,,,1971,6,2014,6
10165117,RETAIL ASSOCIATION OF MAINE,,45 MELVILLE STREET SUITE 1,AUGUSTA,ME,04330-6306,0,6,3,1000,194206,2,0,920059480,1,1,201412,5,4,1,0,12,638353,328139,276888,,,1942,6,2014,12
10168122,SHRINERS INTERNATIONAL,% ANAH SHRINERS,586 MAIN ST,BANGOR,ME,04401-6822,229,10,9,1000,194011,1,0,36000000,5,1,,0,0,2,0,12,0,0,0,,BANGOR-BREWER SHRINE CLUB,1940,11,,
10170013,SHRINERS INTERNATIONAL,% LARRY HERSOM,586 MAIN ST,BANGOR,ME,04401-6822,229,10,9,1000,197211,1,0,36000000,5,1,201412,6,6,1,0,12,1934506,1446005,702615,,ANAH SHRINERS,1972,11,2014,12
10173095,TREFETHEN EVERGREEN IMPROVEMENT,% PAUL CASTLE TREASURER,308 SEASHORE AVE,PEAKS ISLAND,ME,04108-1441,0,7,3,1000,197805,2,0,318000000,1,1,201509,4,4,1,0,9,294271,220172,189182,,,1978,5,2015,9
10174648,ORDER OF THE EASTERN STAR OF NEW HAMPSHIRE GRAND CHAPTER,% ROBIN GRILL TREASURER,PO BOX 8795,PENACOOK,NH,03303-8795,5,8,6,1000,194005,1,0,36000000,5,1,201409,5,3,1,0,9,743527,87545,87545,,,1940,5,2014,9
10174845,UNITED COMMERCIAL TRAVELERS OF AMERICA,% DIANE BLANCHARD,247 SUMMER ST,AUBURN,ME,04210-5129,151,8,9,1000,194010,1,0,36000000,5,1,201503,0,0,2,0,3,0,0,0,,160 TWIN CITY COUNCIL,1940,10,2015,3
10177170,WALDO COUNTY GENERAL HOSPITAL,,118 NORTHPORT AVE BOX 287,BELFAST,ME,04915-6009,0,3,3,1000,195102,1,12,150000000,1,1,201409,9,9,1,0,9,121584679,85799644,77314498,E220,,1951,2,2014,9
10178800,MID-MAINE CHAMBER OF COMMERCE,% KIMBERLY LINDLOF,50 ELM ST,WATERVILLE,ME,04901-6015,0,6,3,3000,198207,2,0,200000000,5,1,201412,5,5,1,0,12,575846,556239,458607,,,1982,7,2014,12
10179500,SOUTHERN MAINE HEALTH CARE,,PO BOX 626,BIDDEFORD,ME,04005-0626,0,3,3,1000,199311,1,12,150000000,1,1,201409,9,9,1,0,9,277082693,232924748,232222932,E220,,1993,11,2014,9
10180531,WEST OXFORD AGRICULTURAL SOCIETY,,PO BOX 78,FRYEBURG,ME,04037-0078,0,3,3,1000,199101,1,16,65149000,1,1,201412,6,6,1,0,12,3700295,3786764,3720638,N520,,1991,1,2014,12
10180687,WINDSOR IMPROVEMENT CORPORATION,% HAROLD PYKE,PO BOX 445,WINDSOR,VT,05089-0445,0,3,3,1000,200211,1,15,0,1,1,201506,3,3,1,0,6,26444,58629,58629,S30,,2002,11,2015,6
10184850,WOODFORDS CLUB,,179 WOODFORD ST,PORTLAND,ME,04103-5601,0,7,3,1000,192207,2,0,319000000,1,1,201503,5,3,1,0,3,640601,99925,99925,,,1922,7,2015,3
10186375,YORK HARBOR READING ROOM,,491 YORK STREET,YORK HARBOR,ME,03911-0000,0,7,3,1000,195005,2,0,319000000,1,1,201412,6,5,1,0,12,1376228,942830,735555,,,1950,5,2014,12
10186800,YOUNG MENS CHRISTIAN ASSOCIATION STATE OF MAINE,,305 WINTHROP CENTER RD,WINTHROP,ME,04364-3543,0,3,3,1200,194209,1,15,324000000,1,1,201412,6,5,1,0,12,1323437,977656,977656,P27Z,,1942,9,2014,12
10187940,ROCKLAND CEMETERY ASSOCIATION,,PO BOX 664,ROCKLAND,ME,04841-0664,0,13,3,1000,194402,1,0,900000000,1,1,201412,7,6,1,0,12,8420674,1081340,325672,Y52Z,,1944,2,2014,12
10188907,INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES,% WAYNE CUMMINGS,34 COMMERCIAL DR,BRENTWOOD,NH,03833-6630,444,5,9,3000,194107,2,0,263264000,5,1,201412,1,1,2,0,12,3894,5468,5468,,1468 LOCAL PAINTERS UNION,1941,7,2014,12
10191110,CENTRAL AROOSTOOK CHAMBER OF COMMER CE,,3 HOULTON RD,PRESQUE ISLE,ME,04769-5207,0,6,3,3000,194804,2,0,200403000,1,1,201412,4,4,1,0,12,144884,123808,123808,,,1948,4,2014,12
10191203,MAINE AUTOMOBILE DEALERS ASSOCIATION INC,,PO BOX 2667,AUGUSTA,ME,04338-2667,0,6,3,1000,194710,2,0,920279000,1,1,201408,6,6,1,0,8,1359783,1303687,1070983,,CROSS & OXFORD ST,1947,10,2014,8
10191550,NORTHERN MAINE FAIR ASSOCIATION,,PO BOX 804,PRESQUE ISLE,ME,04769-0804,0,3,3,1000,199501,1,16,995065000,1,1,201410,4,5,1,0,10,436949,754949,392561,N52,,1995,1,2014,10
10191822,VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF MAINE,% DAVID WILLIAMS QM,PO BOX 56,RUMFORD,ME,04276-0056,9154,19,6,1000,198705,1,0,907908000,1,1,201506,4,4,1,0,6,444606,345708,345708,,,1987,5,2015,6
10191837,AMERICAN LEGION POST 0002 FITZGERALD-CUMMINGS,% FRED UMPHREY,PO BOX 5244,AUGUSTA,ME,04332-5244,925,19,9,1000,194603,1,0,907908000,1,1,201404,3,4,1,0,4,63970,108687,68393,,,1946,3,2014,4
10191953,CUMBERLAND CEMETERY ASSOCIATION,% PETER C MCKENNEY,36 BRUCE HILL RD,CUMBERLAND CTR,ME,04021-3452,0,13,3,1000,194508,1,0,900904000,1,1,201412,4,3,2,0,12,295115,40872,40872,,,1945,8,2014,12
10192074,UNITE HERE,% WARREN PEPICELLI,33 HARRISON AVE FL 8,BOSTON,MA,02111-2035,8177,5,9,3000,194103,2,0,263000000,5,1,201412,0,0,2,0,12,0,0,0,,486C LOCAL,1941,3,2014,12
10192722,HOULTON CHAMBER OF COMMERCE,,109 MAIN ST,HOULTON,ME,04730-2123,0,6,3,3000,194609,2,0,927279200,5,1,201412,2,4,1,0,12,20543,105174,50649,,,1946,9,2014,12
10192761,CHILD EVANGELISM FELLOWSHIP INC,,431 CAMPGROUND RD,LIVERMORE FLS,ME,04254-4517,2029,3,9,7000,195611,1,15,328029000,5,1,201408,6,6,1,0,8,2796359,1357134,1357134,O55Z,MAINE CHAPTER,1956,11,2014,8
10193088,VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF MAINE,% RANDOLPH S MICHAUD,6 STATE RD,PRESQUE ISLE,ME,04769-2148,9154,19,9,1000,198705,1,0,907908000,1,1,201506,0,0,2,0,6,0,0,0,,2599 HAYWARD FRAZIER POST,1987,5,2015,6
10194655,AMERICAN LEGION POST 22-ADJTANT-FINANCE OFFICER,% JERRY DEWITT,80 POND RD,NEW GLOUCESTR,ME,04260-2600,925,19,9,1000,194603,1,0,907908000,1,1,201206,0,0,2,0,6,0,0,0,,0022 LEWISTON POST,1946,3,2012,6
10195310,YORK CHAMBER OF COMMERCE,%,1 STONEWALL LN,YORK,ME,03909-1662,0,6,3,1000,199306,2,0,200000000,1,1,201412,4,4,1,0,12,483825,346705,290727,,GREATER YORK REGION CHAMBER OF COMM,1993,6,2014,12
10196124,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% MARK MANSIR,PO BOX 766,GARDINER,ME,04345-0766,275,10,9,1000,194101,1,0,36000000,5,1,201412,0,0,2,0,12,0,0,0,,32 HERMON LODGE,1941,1,2014,12
10196194,MAINE STATE CU,% NORMAN D DUBREUIL CCUE,PO BOX 5659,AUGUSTA,ME,04332-5659,2048,14,9,1000,196911,2,0,921922000,5,1,201412,9,8,1,0,12,354258287,14928871,14928871,,MAINE STATE CU,1969,11,2014,12
10196359,IRIS NETWORK,,189 PARK AVE,PORTLAND,ME,04102-2909,0,3,3,2000,193607,1,15,59000000,5,1,201409,6,6,1,0,9,2127227,3191655,2523931,,,1936,7,2014,9
10198331,MAINE COAST REGIONAL HEALTH FACILITIES,,50 UNION ST,ELLSWORTH,ME,04605-1534,0,3,3,1000,195012,1,15,150000000,1,1,201406,9,9,1,0,6,71050757,80375096,77054331,E220,MAINE COAST MEMORIAL HOSPITAL,1950,12,2014,6
10198980,NORTHEAST HARBOR FLEET,,PO BOX 462,NE HARBOR,ME,04662-0462,0,7,3,1000,195403,2,0,318000000,1,1,201409,5,4,1,0,9,602571,306735,285563,,,1954,3,2014,9
10199142,ABENAKEE CLUB,,PO BOX 468,BIDDEFORD,ME,04005-0468,0,7,3,1000,196203,2,0,280318319,1,1,201412,6,5,1,0,12,1268202,501660,478086,,,1962,3,2014,12
10199224,VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF MAINE,% DAVID WILLIAMS,330 WALDO ST,RUMFORD,ME,04276-1714,9154,19,9,1000,198705,1,0,907908000,1,1,201506,0,0,2,0,6,0,0,0,W30,DIST 9,1987,5,2015,6
10199433,PORTLAND PLAYERS INC,,420 COTTAGE RD,S PORTLAND,ME,04106-4921,0,3,3,1000,196412,1,16,119927000,1,1,201506,4,4,1,0,6,174619,259444,259444,A650,,1964,12,2015,6
10199596,MAINE MEDICAL CENTER WOMENS BOARD CANTEEN & GIFT SHOP,,22 BRAMHALL ST,PORTLAND,ME,04102-3134,0,3,3,1000,194604,1,17,916000000,5,1,201409,5,6,1,0,9,748481,1553276,1553276,,,1946,4,2014,9
10199615,FORT FAIRFIELD CHAMBER OF COMMERCE,% MICHAEL BOSSE,18 COMMUNITY CENTER DR,FT FAIRFIELD,ME,04742-1193,0,6,3,3000,197212,2,0,200000000,1,1,201412,3,3,2,0,12,38355,31812,31812,S41Z,,1972,12,2014,12
10199702,SOMERSET MASONIC BLDG ASSOCIATION,% ROBERT WARD,61 HEALD ST,MADISON,ME,04950-1636,0,2,3,1000,194906,2,0,399000000,1,1,201412,0,0,2,0,12,0,0,0,,,1949,6,2014,12
10199895,AMERICAN LEGION POST 0147 THOS O CYR,,353 MAIN ST,MADAWASKA,ME,04756-1477,925,19,9,1000,194603,1,0,907908000,1,1,201505,5,5,1,0,5,645745,809518,229466,,,1946,3,2015,5
10200601,BAR HARBOR YACHT CLUB INC,,PO BOX 568,BAR HARBOR,ME,04609-0568,0,7,3,1000,194810,2,0,318319317,1,1,201412,0,0,2,0,12,0,0,0,,,1948,10,2014,12
10200646,VETERANS OF FOREIGN WARS OF THE UNITED STATES DEPT OF MAINE,% KEITH DAVIS QM,PO BOX 1865,AUBURN,ME,04211-1865,9154,19,9,1000,198705,1,0,907908000,1,1,201506,0,0,2,0,6,0,0,0,,1603 CAPT FRANK HULETT,1987,5,2015,6
10201854,AMERICAN LEGION,% HEWETT & WHITNEY,161 MAIN ST,WINTHROP,ME,04364-1432,925,19,9,1000,194603,1,0,907908000,1,1,201504,4,4,1,0,4,180707,382659,100164,,40 POST,1946,3,2015,4
10202467,MOUNT DESERT ISLAND BIOLOGICAL LABORATORY,,PO BOX 35,SALSBURY COVE,ME,04672-0035,0,3,3,8000,195403,1,16,161180059,1,1,201412,8,8,1,0,12,29607771,13022814,12967968,U500,,1954,3,2014,12
10203373,AMERICAN LEGION POST 0049 LEVASSEUR -FARRELL POST,,PO BOX 296,VAN BUREN,ME,04785-0296,925,19,9,1000,194603,1,0,907908000,1,1,201505,3,3,1,0,5,53720,82900,57056,,,1946,3,2015,5
10203515,SACO VALLEY CREDIT UNION,% CARRIE SHAW,PO BOX 740,SACO,ME,04072-0740,2048,14,9,1000,196911,0,0,921922000,5,1,201412,9,6,1,0,12,98942425,4695599,4594599,,STATE CHARTERED CREDIT UNIONS IN ME,1969,11,2014,12
10203708,AMERICAN LEGION,,PO BOX 582,ROCKLAND,ME,04841-0582,925,19,9,1000,194603,1,0,907908000,1,1,201412,6,4,1,0,12,1189217,391582,293720,,0001 POST WINSLOW HOLBROOK MERRITT,1946,3,2014,12
10204000,MAINE STATE EMPLOYEES ASSOCIATION,,65 STATE ST,AUGUSTA,ME,04330-5126,0,5,3,1000,194311,2,0,263000000,5,1,201412,5,7,1,0,12,742342,5146544,5127733,,1989 MAINE STATE EMPLOYEES,1943,11,2014,12
10204920,WATERVILLE COUNTRY CLUB INCORPORATED,,PO BOX 459,WATERVILLE,ME,04903-0459,0,7,3,1000,197207,2,0,280000000,1,1,201410,5,6,1,0,10,980487,1015852,843890,,,1972,7,2014,10
10205005,MARTIN-KLEIN AMERICAN LEGION POST 133,% FINANCE OFFICER,411 W MAIN ST,FORT KENT,ME,04743-1016,0,19,3,1000,201408,1,0,0,5,1,201412,0,0,2,0,12,0,0,0,W99,133 MARTIN KLEIN,2014,8,2014,12
10205019,RIVERSIDE CEMETERY CORPORATION,,PO BOX 718,FT FAIRFIELD,ME,04742-0718,0,13,3,2000,194908,1,0,900000000,1,1,201503,4,4,1,0,3,466964,145557,57750,,,1949,8,2015,3
10205722,BROOKSIDE CEMETERY ASSOCIATION INC,,PO BOX 99,MOUNT DESERT,ME,04660-0099,0,13,3,1000,197105,1,0,900000000,1,1,201509,5,4,1,0,9,722688,192257,67518,Y52Z,,1971,5,2015,9
10206386,BLUE HILL COUNTRY CLUB INC,,PO BOX 813,BLUE HILL,ME,04614-0813,0,7,3,1000,197805,2,0,280000000,1,1,201412,6,4,1,0,12,2139570,464018,431528,,,1978,5,2014,12
10206454,LEDGELAWN CEMETERY INCORPORATED,,33 LEDGELAWN AVE,BAR HARBOR,ME,04609-1303,0,13,3,2000,197203,2,0,900000000,1,1,201412,5,3,1,0,12,905838,58498,58498,,,1972,3,2014,12
10206603,STATE CHARTERED CREDIT UNIONS IN,% DONNA STECKINO,144 PINE ST,LEWISTON,ME,04240-6968,2048,14,9,1000,196911,2,0,921922000,5,1,201412,8,6,1,0,12,44788554,3035571,3035571,,COMMUNITY CREDIT UNION,1969,11,2014,12
10206925,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% ALLEN MERRITT,102 BISHOP ST,PORTLAND,ME,04103-2616,275,10,9,1000,194101,1,0,36000000,5,1,201501,6,3,2,0,1,1106308,33659,33659,Y40Z,183 DEERING LODGE,1941,1,2015,1
10207022,FAIRMOUNT CEMETERY ASSOC,% DAVE BLANCHARD,82 MAIN ST,PRESQUE ISLE,ME,04769-2866,0,13,3,1000,194910,1,0,900000000,5,1,201412,5,3,1,0,12,974275,61631,61631,,,1949,10,2014,12
10207025,GREEN LAWN REST ASSOCIATION,% DIANAHARTLEY,179 TARDIFF RD,CLINTON,ME,04927-3814,0,13,3,1000,195003,1,0,900000000,5,1,201504,0,0,2,0,4,0,0,0,,,1950,3,2015,4
10207282,INDEPENDENT ORDER OF ODD FELLOWS,% FRED CARRIGAN,59 OLD POINT AVE,MADISON,ME,04950-1116,28,8,9,1000,197211,1,0,36382265,5,1,201406,0,0,2,0,6,0,0,0,,115 INDIAN SPRING LODGE,1972,11,2014,6
10207716,VICTORIA MANSION,,109 DANFORTH ST,PORTLAND,ME,04101-4504,0,3,3,1200,197103,1,15,60000000,1,1,201503,7,5,1,0,3,5993564,845052,540317,A82Z,,1971,3,2015,3
10207850,AMERICAN LEGION GROVER HINCKLEY,,PO BOX 312,FAIRFIELD,ME,04937-0312,925,19,9,1000,194603,1,0,907908000,1,1,201412,3,4,1,0,12,94784,153347,54453,,POST 14,1946,3,2014,12
10209532,ANCIENT FREE & ACCEPTED MASONS OF MAINE,% RALPH D MORGAN,22 POLAND ST,PORTLAND,ME,04103-3328,275,10,9,1000,194101,1,0,36000000,5,1,201312,0,0,2,0,12,0,0,0,,216 CORNER STONE LODGE,1941,1,2013,12
10209784,DELTA TAU DELTA FRATERNITY,,111 COLLEGE AVE,ORONO,ME,04473-4211,124,7,9,1000,194009,2,0,36000000,5,1,201407,0,0,2,0,7,0,0,0,,GAMMA NU CHAPTER,1940,9,2014,7
10210495,AMERICAN LEGION POST 0015 HENRY B PRATT,,PO BOX 5,CARIBOU,ME,04736-0005,925,19,9,1000,194603,1,0,907908000,1,1,201412,3,4,1,0,12,51900,241655,82914,,,1946,3,2014,12
10210783,KAPPA DELTA PHI NATIONAL AFFILIATED SORORITY INC,% ELIZABETH HARTFORD,19 CHARLES ST,WOBURN,MA,01801-3035,9115,7,9,1000,196706,2,0,36279265,5,1,201408,0,0,2,0,8,0,0,0,,KAPPA LAMBDA,1967,6,2014,8
10211476,THE CHAPMAN HOUSE,,41 PLEASANT ST,AUBURN,ME,04210-5936,0,3,3,1000,194104,1,15,153575000,1,1,201412,8,6,1,0,12,10955364,2155444,1611496,P75Z,,1941,4,2014,12
10211478,UNITED WAY OF EASTERN MAINE,,24 SPRINGER DR STE 201,BANGOR,ME,04401-3655,0,3,1,1000,195909,1,15,600902927,1,1,201406,7,6,1,0,6,5779999,3054612,3054612,T700,,1959,9,2014,6
10211481,BANGOR CHILDRENS HOME,% PAUL/ROBERTA/STACY,218 OHIO ST,BANGOR,ME,04401-4741,0,3,3,2000,194208,1,11,46000000,1,1,201408,6,6,1,0,8,2098869,1913308,887799,B21Z,,1942,8,2014,8
10211483,COMMUNITY HEALTH AND COUNSELING SERVICES,,42 CEDAR ST,BANGOR,ME,04401-6433,0,3,3,1000,194012,1,15,999000000,1,1,201406,8,8,1,0,6,14540302,38001785,37586164,F320,,1940,12,2014,6
10211484,BANGOR THEOLOGICAL SEMINARY,,97 INDIA STREET,PORTLAND,ME,04101-4248,0,3,3,1700,201506,1,15,46034918,1,1,201406,8,6,1,0,6,14986787,2385104,506036,X20,,2015,6,2014,6
10211485,BANGOR YOUNG MENS CHRISTIAN ASSOCIATION,,17 2ND ST,BANGOR,ME,04401-6133,0,3,3,1000,194208,1,16,324000000,5,1,201409,7,6,1,0,9,9620647,3894995,3505890,P270,,1942,8,2014,9
10211486,MT DESERT ISLAND YMCA,,21 PARK ST,BAR HARBOR,ME,04609-1316,0,3,3,1000,197506,1,15,324000000,5,1,201412,6,6,1,0,12,4330930,1894875,1876076,P270,,1975,6,2014,12
10211487,BIBLE SOCIETY OF MAINE,% JAMES DURAN,105 HARRIS AVE,PORTLAND,ME,04103-1515,0,3,3,7000,195101,1,16,29000000,1,1,201412,0,0,2,0,12,0,0,0,,,1951,1,2014,12
10211488,TRUSTEES OF BLOOMFIELD ACADEMY,% J HEWETT,9 ELM ST,SKOWHEGAN,ME,04976-1201,0,3,3,1200,194001,1,15,30062061,1,1,201501,6,6,1,0,1,1903506,1059832,541612,A82Z,,1940,1,2015,1
10211489,BOY SCOUTS OF AMERICA,,PO BOX 1869,BANGOR,ME,04402-1869,1761,3,9,1000,196511,1,15,59328908,5,1,201412,6,6,1,0,12,1231853,1399791,1123991,,216 KATAHDIN AREA COUNCIL,1965,11,2014,12
10211490,BOY SCOUTS OF AMERICA,,146 PLAINS RD,RAYMOND,ME,04071-6234,1761,3,9,1000,196511,1,15,59328908,5,1,201412,6,6,1,0,12,4280785,4551162,1758846,,218 PINE TREE COUNCIL,1965,11,2014,12
10211494,CENTRAL MAINE MEDICAL CENTER,% PHIL MORISSETTE,PO BOX 4500,LEWISTON,ME,04243-4500,0,3,3,1200,194203,1,12,150030000,1,1,201406,9,9,1,0,6,292642903,362391083,358140998,E220,,1942,3,2014,6
10211497,PRESIDENT & TRUSTEES OF COLBY COLLEGE,% RUBEN L RIVERA CONTROLLER,4120 MAYFLOWER HL,WATERVILLE,ME,04901-8841,0,3,3,2000,194404,1,11,46030000,1,1,201406,9,9,1,0,6,1267797000,288624000,205693000,B420,,1944,4,2014,6
10211499,MAINE CONFERENCE UNITED CHURCH OF CHRIST,,1 WESTON CT STE 104,AUGUSTA,ME,04330-5543,1665,3,9,7000,196406,1,10,1029000,5,1,201212,0,0,6,0,12,0,0,0,,,1964,6,2012,12
10211500,DYER LIBRARY ASSOCIATION,,371 MAIN ST,SACO,ME,04072-1520,0,3,3,2000,194409,1,15,61000000,1,1,201506,6,6,1,0,6,2547052,1178113,827640,B71Z,,1944,9,2015,6
10211501,EASTERN MAINE HEALTHCARE SYSTEMS,,489 STATE ST,BANGOR,ME,04401-6616,5247,3,9,1000,200506,1,11,151000000,5,1,201409,9,9,1,0,9,791501081,1437680945,1401655218,E200,EASTERN MAINE MEDICAL CENTER,2005,6,2014,9
10211502,EASTPORT PUBLIC LIBRARY ASSOCIATION,,26 WATER ST,EASTPORT,ME,04631-1531,0,3,3,1000,199806,1,15,994061000,1,1,201501,6,4,1,0,1,1267725,154241,154241,B700,,1998,6,2015,1
10211503,FRANKLIN MEMORIAL HOSPITAL,,111 FRANKLIN HEALTH CMNS,FARMINGTON,ME,04938-6144,0,3,3,1000,193706,1,12,179000000,1,1,201409,9,8,1,0,9,51298014,18752328,18737664,E220,,1937,6,2014,9
10211504,EUNICE FRYE HOME,% THOMAS M PIERCE H M PAYSON & CO,PO BOX 31,PORTLAND,ME,04112-0031,0,3,3,1000,194303,1,4,382399000,1,1,201509,6,5,0,1,9,1682713,639637,0,,,1943,3,2015,9
10211505,THE TRUSTEES OF FRYEBURG ACADEMY,,745 MAIN ST,FRYEBURG,ME,04037-1322,0,3,3,2000,193901,1,11,46030000,5,1,201406,9,8,1,0,6,50466752,24188878,15654250,B25Z,,1939,1,2014,6
10211507,GOOD SAMARITAN AGENCY,,100 RIDGEWOOD DR,BANGOR,ME,04401-2652,0,3,3,1000,194205,1,16,150000000,5,1,201506,6,6,1,0,6,1912715,1125008,554083,,,1942,5,2015,6
10211508,GOOD WILL HOME ASSOCIATION,,16 PRESCOTT DR,HINCKLEY,ME,04944-0000,0,3,3,2000,194005,1,15,30319349,1,1,201406,8,6,1,0,6,17186541,3632149,3498514,P730,,1940,5,2014,6
10211509,GOULD ACADEMY,,24CHURCH ST DEL PK MASON HOUSE,BETHEL,ME,04217-0000,0,3,3,1000,194210,1,11,46030000,1,1,201406,8,8,1,0,6,39274949,16458512,14699634,B250,,1942,10,2014,6
10211512,HOME FOR THE AGED,,777 STEVENS AVENUE,PORTLAND,ME,04103-2675,0,3,3,1900,194207,1,15,382000000,1,1,201406,8,7,1,0,6,22872066,8715296,4594837,P750,,1942,7,2014,6
10211513,JACKSON LABORATORY,% LINDA A JENSEN,600 MAIN STREET,BAR HARBOR,MA,01001-0000,0,3,1,8000,195005,1,15,161180059,1,1,201412,9,9,1,0,12,736361322,292228376,291589484,H920,,1950,5,2014,12
10211515,JEWISH COMMUNITY COUNCIL OF BANGOR,,PO BOX 11,BANGOR,ME,04402-0011,0,3,3,2100,195208,1,15,602059000,1,1,201506,0,0,2,0,6,0,0,0,T70Z,,1952,8,2015,6
10211517,CEDARS NURSING CARE CENTER INC,,630 OCEAN AVE,PORTLAND,ME,04103-2704,0,3,3,9000,194203,1,16,150000000,1,1,201504,8,8,1,0,4,22005165,12615939,12204122,E91Z,,1942,3,2015,4
10211526,MAINE COUNCIL OF CHURCHES,,156 HIGH ST,PORTLAND,ME,04101-2825,0,3,3,7000,197406,1,10,2029000,1,1,,6,4,6,0,12,0,0,0,,,1974,6,,
